iter	Logloss
0	0.677550759
1	0.6624564077
2	0.6464462899
3	0.6308397584
4	0.6173166196
5	0.6027981364
6	0.5902024438
7	0.5788458697
8	0.5670540716
9	0.556392591
10	0.5441752874
11	0.5325384775
12	0.5229969577
13	0.5137058986
14	0.5040503237
15	0.4954203322
16	0.48635052
17	0.4781865551
18	0.4682759757
19	0.4592121297
20	0.4518638787
21	0.4347588786
22	0.4183884348
23	0.4085059131
24	0.3861873709
25	0.3653035939
26	0.3457428661
27	0.3274650857
28	0.3103969982
29	0.3039941263
30	0.2978720379
31	0.2921259787
32	0.2886334558
33	0.2852429867
34	0.2820139549
35	0.2776863633
36	0.2679969311
37	0.2631288893
38	0.2541386695
39	0.2454705542
40	0.2421545519
41	0.238419844
42	0.2307467934
43	0.227677578
44	0.2160929045
45	0.2111957472
46	0.2059322581
47	0.2014440348
48	0.1970554301
49	0.1928537908
50	0.1883371554
51	0.1844143778
52	0.1802286386
53	0.1765987359
54	0.1727246872
55	0.1693481325
56	0.1657511878
57	0.1582448616
58	0.1512814848
59	0.1484968468
60	0.1420764794
61	0.1401049933
62	0.1342270809
63	0.1324399553
64	0.1270259273
65	0.1253626067
66	0.1204053219
67	0.1157822097
68	0.1143112688
69	0.1110297228
70	0.109663661
71	0.1083302736
72	0.1052938424
73	0.1040366915
74	0.1012183914
75	0.09850509548
76	0.09735843515
77	0.0962579744
78	0.09524647367
79	0.09273332401
80	0.09032425596
81	0.08932584427
82	0.0861790989
83	0.08525421614
84	0.08308789
85	0.08102934116
86	0.08018216502
87	0.07934604067
88	0.07723916912
89	0.07644845641
90	0.0756780413
91	0.0738586126
92	0.07312717171
93	0.07242155587
94	0.07005619669
95	0.06941190144
96	0.06875276633
97	0.06810780535
98	0.06636334719
99	0.06427504731
100	0.06293043804
101	0.06151727151
102	0.06094347069
103	0.05910345104
104	0.05855951071
105	0.05802562909
106	0.05738516059
107	0.05687017022
108	0.05623896548
109	0.05502931592
110	0.05443090711
111	0.05380075924
112	0.05324561664
113	0.05270297367
114	0.05221662418
115	0.05069931804
116	0.05022186172
117	0.04975600685
118	0.04932563274
119	0.04888679344
120	0.0484149806
121	0.04801147378
122	0.04762508155
123	0.04723397018
124	0.04681329827
125	0.04645711313
126	0.0461159684
127	0.04572729569
128	0.04540238568
129	0.04449845455
130	0.04414255257
131	0.04327502651
132	0.04296293155
133	0.04268023365
134	0.04239074163
135	0.04211750276
136	0.04184216288
137	0.04151876974
138	0.04033857797
139	0.03999764028
140	0.03922504744
141	0.03855820461
142	0.0378319154
143	0.03759700196
144	0.03687027245
145	0.03665042706
146	0.03603265417
147	0.0353792498
148	0.03511129478
149	0.03415120095
150	0.03389463778
151	0.03364402649
152	0.0330368167
153	0.0321596109
154	0.03194000453
155	0.0317111178
156	0.03115440193
157	0.03092501881
158	0.03071184414
159	0.03018321157
160	0.03000736074
161	0.0297824085
162	0.02901397897
163	0.02879652364
164	0.02835162385
165	0.02764066583
166	0.02722205201
167	0.02703193889
168	0.02676589563
169	0.02641510459
170	0.02597389412
171	0.02580083925
172	0.02537689395
173	0.02476058157
174	0.02417063006
175	0.02401013419
176	0.0238523333
177	0.02354005892
178	0.0233902564
179	0.02309844266
180	0.02296118803
181	0.02258705699
182	0.02216722862
183	0.02166135491
184	0.02118084815
185	0.02104743616
186	0.02078636097
187	0.0206689598
188	0.02005189787
189	0.01992866951
190	0.01934464605
191	0.01905072597
192	0.01850345746
193	0.01798714948
194	0.01749530561
195	0.0170218395
196	0.01657471814
197	0.01614812779
198	0.01585031414
199	0.01560491249
200	0.01544480541
201	0.01505590626
202	0.01468434006
203	0.01441990795
204	0.01426963156
205	0.0139251395
206	0.01382043739
207	0.01349352843
208	0.0133962913
209	0.01308574587
210	0.01278847983
211	0.01250369464
212	0.01238655931
213	0.01213943871
214	0.0120254857
215	0.0119002415
216	0.01164248943
217	0.01139538527
218	0.01129237527
219	0.01119520177
220	0.01097747529
221	0.01088161666
222	0.01078794841
223	0.0106782825
224	0.01059955209
225	0.01049778517
226	0.0104214457
227	0.01020790234
228	0.01000336696
229	0.009908468513
230	0.009816198599
231	0.009725563675
232	0.009636977712
233	0.009449017592
234	0.009363518616
235	0.009185264015
236	0.009013889006
237	0.008941678817
238	0.008862912428
239	0.008784589528
240	0.008716998411
241	0.008559871976
242	0.008485515277
243	0.008380754905
244	0.008309321758
245	0.008163506697
246	0.008103970503
247	0.007965118591
248	0.007893915392
249	0.007826389838
250	0.007695895645
251	0.007630333754
252	0.007566405306
253	0.007513308653
254	0.007452356443
255	0.007276554901
256	0.007108172224
257	0.006946803163
258	0.006835586161
259	0.006786748193
260	0.006739057449
261	0.006589659077
262	0.006445837703
263	0.006399384512
264	0.006300616721
265	0.006248970453
266	0.006198581462
267	0.006146852665
268	0.006098881231
269	0.006052289663
270	0.006006587929
271	0.005962202594
272	0.005810767092
273	0.005695641468
274	0.005654042902
275	0.005612880273
276	0.00557271029
277	0.005533493037
278	0.005495192279
279	0.005457978486
280	0.005423533129
281	0.005387872058
282	0.005352361897
283	0.005318641323
284	0.005209805196
285	0.005176229346
286	0.005145155649
287	0.005018720192
288	0.004987213839
289	0.004956578003
290	0.004925963754
291	0.004898725784
292	0.004869863373
293	0.004841672048
294	0.004814234399
295	0.004773812409
296	0.004734441848
297	0.004693378974
298	0.004655872024
299	0.004616692552
300	0.004524245115
301	0.004489239102
302	0.004401003622
303	0.004369364037
304	0.004335957602
305	0.004303358653
306	0.00420460649
307	0.004173336226
308	0.004142819083
309	0.004111584193
310	0.004034909332
311	0.004006405107
312	0.003978952396
313	0.0038919528
314	0.003863956387
315	0.00383782184
316	0.003813976879
317	0.003732926803
318	0.003707241976
319	0.00368323322
320	0.003659808597
321	0.003636916757
322	0.003614746999
323	0.003591394134
324	0.003517767411
325	0.003496710735
326	0.003476132695
327	0.003454676774
328	0.003438945135
329	0.00341869552
330	0.003350872089
331	0.003336188579
332	0.00331698811
333	0.003252869262
334	0.003234363431
335	0.003217142583
336	0.003166827044
337	0.003150246066
338	0.003092178985
339	0.003076043013
340	0.003060384895
341	0.003044956694
342	0.003029270263
343	0.003014622638
344	0.002999622839
345	0.002984869887
346	0.002970455252
347	0.002915489177
348	0.0029014367
349	0.00288983223
350	0.002876318329
351	0.002825785179
352	0.002814500326
353	0.002802083337
354	0.002789479073
355	0.002739260495
356	0.002726666975
357	0.002688621544
358	0.002677744165
359	0.002664943488
360	0.002628661965
361	0.002616803453
362	0.002571269933
363	0.002561978222
364	0.002552419414
365	0.002543044269
366	0.002531974642
367	0.002491126456
368	0.002449137936
369	0.002440671982
370	0.002432830828
371	0.002425110424
372	0.002417427375
373	0.002409818902
374	0.002402727718
375	0.002395537057
376	0.00238132934
377	0.002374358029
378	0.002337514818
379	0.002330245207
380	0.002323540477
381	0.002299389045
382	0.002219237399
383	0.00220628538
384	0.002193784885
385	0.002185113437
386	0.00210986356
387	0.002097839604
388	0.002086019459
389	0.002080054249
390	0.002074293585
391	0.00206845986
392	0.002062771474
393	0.00205171381
394	0.002010813276
395	0.00200544722
396	0.001942775033
397	0.001931843787
398	0.00188330655
399	0.001877460459
400	0.001866939764
401	0.001858938895
402	0.001852508462
403	0.001809894589
404	0.001803610377
405	0.001750129909
406	0.001740391413
407	0.001731167389
408	0.001692181962
409	0.001683239879
410	0.001678272997
411	0.001671698065
412	0.001665355287
413	0.001628598829
414	0.001586084401
415	0.001556783424
416	0.001551420429
417	0.001546111601
418	0.001540375226
419	0.001532230993
420	0.0015248247
421	0.001517287415
422	0.0015100825
423	0.001505577681
424	0.001501605258
425	0.001494549744
426	0.001487422794
427	0.001480456904
428	0.001441529455
429	0.00143786111
430	0.001419477265
431	0.00141316544
432	0.00139529252
433	0.001391959136
434	0.001388073843
435	0.001370720758
436	0.00132551901
437	0.001302006157
438	0.001296237954
439	0.001293381792
440	0.001287675954
441	0.00128516255
442	0.001269455275
443	0.001266763427
444	0.001261300204
445	0.001258685689
446	0.001243701777
447	0.001241166971
448	0.001238419185
449	0.001235957741
450	0.00123085546
